시도교육청코드,행정표준코드,학교명,도로명주소,홈페이지주소
B10,7010057,가락고등학교,서울특별시 송파구 송이로 42,http://garak.sen.hs.kr
B10,7130165,가락중학교,서울특별시 송파구 송이로 45,http://karak.sen.ms.kr
B10,7041164,가산중학교,서울특별시 금천구 시흥대로115길 48,http://gasan.sen.ms.kr
B10,7130166,가원중학교,서울특별시 송파구 중대로10길 40-18,http://gawon.sen.ms.kr
B10,7011169,가재울고등학교,서울특별시 서대문구 수색로 100-35,http://gajaeul.sen.hs.kr
B10,7031261,가재울중학교,서울특별시 서대문구 수색로 100-75,http://gajaeul.sen.ms.kr
B10,7132123,강남중학교,서울특별시 동작구 대방동15길 29,http://kangnam.sen.ms.kr
B10,7010117,강동고등학교,서울특별시 강동구 구천면로 572,http://kangdong.sen.hs.kr
B10,7130167,강동중학교,서울특별시 강동구 풍산로 237,http://gang-dong.sen.ms.kr
B10,7130168,강명중학교,서울특별시 강동구 상일로12길 56,http://gangmyoung.sen.ms.kr
B10,7121341,강북중학교,서울특별시 강북구 한천로150길 67,http://kangbuk.sen.ms.kr/
B10,7130268,강빛중학교,서울특별시 강동구 아리수로93다길 1,http://gbm.sen.ms.kr
B10,7010118,강서고등학교,서울특별시 양천구 목동중앙남로 27,http://gangseo.sen.hs.kr
B10,7010270,강서공업고등학교,서울특별시 강서구 방화대로47길 9,https://gangseo-th.sen.hs.kr/
B10,7081484,강신중학교,서울특별시 양천구 남부순환로 604,http://kangsin.sen.ms.kr
B10,7010958,강일고등학교,서울특별시 강동구 아리수로98길 40,http://gang-il.sen.hs.kr
B10,7130169,강일중학교,서울특별시 강동구 고덕로27길 12,http://kangil.sen.ms.kr
B10,7132124,강현중학교,서울특별시 동작구 상도로13라길 22,http://sganghyeon.sen.ms.kr
B10,7041165,개봉중학교,서울특별시 구로구 고척로21나길 68,http://gaebong.sen.ms.kr
B10,7121342,개운중학교,서울특별시 성북구 북악산로 935,http://gw.sen.ms.kr
B10,7041166,개웅중학교,서울특별시 구로구 개봉로11길 81,http://kaewoong.sen.ms.kr
B10,7091420,개원중학교,서울특별시 강남구 영동대로 101,http://gaewon.sen.ms.kr
B10,7010058,개포고등학교,서울특별시 강남구 개포로 402,http://gaepo.sen.hs.kr
